flow_krohne_fwd  2014-12-11T20:19:01.7029Z  0.558,5.93,27.38,0.65940
flow_omega_fwd  2014-12-11T21:01:29.0588Z     22.6
fluoro_turner-c6  2014-11-29T00:00:00.8851Z  11/29/14  0:00:01     79.88     20.60    101.32     44.32      7.28   9.38  21.05
grav_bgm3_222	2014-11-17T20:18:10.3194Z	04:024671 00
gyro_1  2014-12-11T00:16:03.5470Z  $HEHDT,107.38,T*12
gyro_1  2014-12-11T00:16:03.5984Z  $TIROT,-0000.6,A*20
gyro_1  2014-12-11T00:16:03.8972Z  $PPLAN,,,,,,,,2*71
gyro_2  2014-12-11T22:05:38.7155Z  $PPLAN,,,,,,,,1*72
gyro_2  2014-12-11T22:05:39.0194Z  $TIROT,-0039.0,A*2C
gyro_2  2014-12-11T22:05:39.0669Z  $HEHDT,106.27,T*1D
ins_seapath_position  2014-12-11T22:09:32.4715Z  $GPZDA,220932.45,11,12,2014,,*6B
ins_seapath_position  2014-12-11T22:09:32.5563Z  $GPGGA,220932.45,2207.733438,N,16242.262661,W,2,09,1.1,7.25,M,4.62,M,1.2,0001*6A
ins_seapath_position  2014-12-11T22:09:32.6020Z  $GPVTG,111.01,T,101.59,M,8.5,N,15.7,K,D*14
ins_seapath_position  2014-12-11T22:09:32.6841Z  $GPRMC,220932.45,A,2207.733438,N,16242.262661,W,8.5,111.01,111214,9.4,E,D*16
ins_seapath_position  2014-12-11T22:09:32.7451Z  $GPGST,220932.45,0.49,0.206,0.193,32,0.202,0.197,0.439*42
ins_seapath_position  2014-12-11T22:09:32.8020Z  $GPGBS,220932.45,0.06,-0.03,0.44,19,0.00,0.46,0.51*40
ins_seapath_position  2014-12-11T22:09:32.8229Z  $GPHDT,104.68,T*0E
ins_seapath_position  2014-12-11T22:09:32.8450Z  $PSXN,20,0,0,0,0*3B
ins_seapath_position  2014-12-11T22:09:32.8825Z  $PSXN,23,1.28,1.93,104.68,-0.24*18
mb_em302_centerbeam  2014-12-11T22:47:00.4684Z  $EMCTR,2014,12,11,22:46:48.730,22.101408,-162.613610,4567.00,288*56
mb_em710_centerbeam 2014-12-09T00:42:29.8146Z  $EMCTR,2014,12,09,00:42:28.954,25.616626,-172.513725,111.31,350*6B
met_ptu307  2014-12-11T22:57:50.4649Z  N     0 P=  1016.8 hPa   T= 24.5 'C RH= 68.0 %RH
rad_psp-pir  2014-12-12T01:29:38.2952Z  $WIR20,14/12/12,01:46:30, 175, -418.5, 265.53, 26.31, 26.15, 278.59, 27.9, 10.8
rad_qsr2150a  2014-12-12T02:02:20.7459Z  1914.525, 28.09, 7.536
rain_org815ds_forward  2014-12-12T05:06:01.9937Z R- .118 000.709 01** 4999 0044 0062 +25
rain_org815ds_across  2014-12-12T04:20:02.5143Z  R- 2.04 017.917 01** 4999 0353 0063 +26
rain_rmy50202  2014-12-12T05:17:36.5777Z  $PAPR1,1805,22.56*03
sb_echosounder_1  2014-11-19T02:52:42.7943Z  $SDDPT,0005.9,-0.0,0010*6B
sb_echosounder_1  2014-11-19T02:52:42.8741Z  $SDDBT,0019.3,f,0005.9,M,0003.2,F*30
sb_echosounder_2  2014-11-19T02:48:28.9308Z  $SDDPT,0005.7,-0.0,0010*65
sb_echosounder_2  2014-11-19T02:48:29.0106Z  $SDDBT,0018.6,f,0005.7,M,0003.1,F*39
speedlog  2014-12-12T06:02:42.8523Z  $VDVLW,14566.6,N,4566.64,N*5A
speedlog  2014-12-12T06:02:43.7550Z  $VDVBW,5.5,0.2,A,,,V,,V,,V*44
ssv_aml-svxchang_fwd  2014-12-12T06:08:43.7092Z   1537.965
thermo_pyrometer-ct15  2014-12-12T06:26:14.2312Z   25.51 C
tsg_emssv  2014-12-12T06:51:13.1575Z  $KSSIS,80,1537.39,26.44,
tsg_sbe45_fwd  2014-12-12T06:34:03.1647Z   26.4679,  5.44818,  34.9076, 1537.771
wind_gill_fwdmast  2014-12-12T07:08:16.3849Z  A,356,006.00,M,60,0E
wind_gill_fwdmast_true  2014-12-12T07:25:11.4542Z  $WIMWD,81.4,T,,M,6.9,N,3.6,M*43
